race,sex,first_arrest_date,second_arrest_date,first_charge,second_charge,first_age,second_age,first_city,second_city,first_arrest_time,second_arrest_time,days_between_arrests
B,M,2019-07-21,2019-08-31,OUT OF AGENCY WARRANT,OPEN CONTAINER ALCOHOL,53,53,CHARLESTON,CHARLESTON,202,36,41
B,M,2019-10-01,2023-06-23,UNLAWFUL CARRYING OF HANDGUN,"DV 2ND, M",27,31, ,CHARLESTON,1202,2052,1361
B,M,2015-03-12,2015-10-06,ASSAULT & BATTERY 2ND DEGREE,TRESPASSING,33,33,CHARLESTON,CHARLESTON,222,1836,208
B,M,2015-03-09,2018-07-28,TRAFFICKING COCAINE BASE 10-28G,TRAFFICKING COCAINE 10-28G,25,28,CHARLESTON,CHARLESTON,1748,2341,1237
W,M,2015-08-23,2015-10-24,HABITUAL OFFENDER,BURGLARY 2ND DEGREE,49,50,CHARLESTON COUNTY,CHARLESTON COUNTY,1917,1146,62
W,F,2015-07-16,2022-01-23,DUI 1ST,PUBLIC DISORDERLY CONDUCT,38,45,CHARLESTON,CHARLESTON,1315,1117,2383
B,M,2017-08-12,2022-10-22,OPEN LIQUOR CONTAINER IN VEH,DUI 1ST,35,40,CHARLESTON,CHARLESTON,2139,140,1897
B,M,2022-05-20,2022-09-03,TRESPASSING,TRESPASSING AFTER WARNING,49,49,CHARLESTON,CHARLESTON,1304,959,106
B,M,2015-02-03,2016-05-13,BURGLARY 2ND DEGREE,PROPERTY CRIME ENHANCEMENT,46,47,CHARLESTON,CHARLESTON,1833,2115,465
B,F,2015-09-25,2019-04-03,SIMPLE ASSAULT,BURGLARY 2ND  DEGREE  (VIOLENT),35,38,CHARLESTON,CHARLESTON,1008,2030,1286
B,M,2015-01-15,2015-01-27,DAMAGE TO PERSONAL PROPERTY,CDV 1ST,55,54,CHARLESTON,CHARLESTON,2012,42,12
B,M,2016-08-09,2019-02-27,DISORDERLY CONDUCT,DAMAGE TO PERSONAL PROPERTY,21,24,CHARLESTON,CHARLESTON,217,1102,932
B,M,2019-08-06,2020-08-27,ASSAULT & BATTERY 3RD DEGREE,POSS STOLEN VEHICLE,12,13,CHARLESTON,CHARLESTON,1725,2017,387
B,M,2015-06-26,2016-08-26,HABITUAL OFFENDER,DV 3RD,38,39,CHARLESTON,N CHARLESTON,1415,921,427
B,M,2017-05-14,2024-02-20,OUT OF AGENCY WARRANT,ASSAULT & BATTERY 3RD DEGREE,46,53,CHARLESTON COUNTY,CHARLESTON,1720,2200,2473
B,M,2015-01-16,2015-02-10,OPEN CONTAINER ALCOHOL,POSS HEROIN,51,52,CHARLESTON,CHARLESTON,1235,2058,25
B,F,2022-09-27,2024-05-31,ATTEMPTED MURDER,ATTEMPTED MURDER,29,30,N CHARLESTON,CHARLESTON,1634,1601,612
B,M,2015-11-03,2016-02-16,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,54,54,CHARLESTON,CHARLESTON,1228,1501,105
W,M,2015-04-04,2016-11-27,PUBLIC DISORDERLY CONDUCT,DUI 1ST,30,32,CHARLESTON,CHARLESTON,224,312,603
B,M,2015-01-22,2017-02-15,SIMPLE ASSAULT,PURSE SNATCHING,35,37,CHARLESTON,CHARLESTON,1844,1450,755
B,M,2021-12-23,2022-02-25,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,42,42,N. CHARLESTON,N CHARLESTON,38,745,64
B,M,2017-02-21,2020-04-29,PWID/MANUF/DISTR/PURCH COCAINE BASE,PWID/MANUF/DISTR/PURCH COCAINE BASE,33,36,CHARLESTON,CHARLESTON,953,1639,1163
B,M,2016-06-20,2023-09-05,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,23,31,CHARLESTON,CHARLESTON,335,859,2633
W,M,2017-03-01,2018-07-25,UNLAWFUL CONDUCT TOWARDS A CHILD,DISORDERLY CONDUCT,40,42,CHARLESTON,CHARLESTON,817,328,511
B,M,2017-12-03,2021-01-21,PROPERTY CRIME ENHANCEMENT,OPEN CONTAINER ALCOHOL,49,52,CHARLESTON,CHARLESTON,816,1115,1145
B,M,2015-05-06,2016-02-18,PWID/MANUF MARIJUANA,DAMAGE TO REAL PROPERTY,21,22,CHARLESTON,NORTH CHARLESTON,1548,1600,288
W,M,2023-09-15,2024-04-26,TRAFFICKING METHAMPHETAMINE 28-100G,POSS CONTROLLED SUBS SCHEDULE I-V,64,65,CHARLESTON COUNTY,CHARLESTON,2011,43,224
B,M,2015-01-04,2015-12-21,ASSAULT & BATTERY 2ND DEGREE,POINTING FIREARM AT A PERSON,24,25,CHARLESTON,CHARLESTON,140,924,351
B,F,2023-06-22,2023-11-14,SHOPLIFTING,OPEN CONTAINER BEER/WINE IN VEH,38,38,CHARLESTON,CHARLESTON,1653,2246,145
B,M,2021-12-25,2022-07-16,OUT OF AGENCY WARRANT,DISTRIBUTION OF COCAINE BASE,36,36,CHARLESTON,CHARLESTON,1045,2124,203
B,M,2015-11-04,2023-07-19,LOITERING,POSS MDMA / ECSTASY,22,30,CHARLESTON,CHARLESTON,2004,2102,2814
B,M,2016-04-07,2017-08-09,PWID/MANUF MARIJUANA,SIMPLE POSS MARIJUANA 1ST,22,24,CHARLESTON,CHARLESTON,1910,1225,489
W,M,2019-02-16,2022-08-28,PUBLIC DISORDERLY CONDUCT,PROPERTY CRIME ENHANCEMENT,30,33,CHARLESTON,CHARLESTON COUNTY,1847,2045,1289
W,M,2016-03-17,2017-08-17,STALKING,OUT OF AGENCY WARRANT,46,47,CHARLESTON,CHARLESTON,714,1330,518
W,M,2023-07-07,2024-05-19,DAMAGE TO PERSONAL PROPERTY,UNLAWFUL USE OF A TELEPHONE,38,39,CHARLESTON,CHARLESTON,2016,442,317
B,M,2017-01-27,2018-08-21,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,21,24,CHARLESTON,CHARLESTON,2131,1835,571
B,M,2015-03-18,2016-10-29,PROPERTY CRIME ENHANCEMENT,CDV-INTIMIDATION,21,23,CHARLESTON,CHARLESTON,2359,1825,591
B,F,2019-05-03,2020-05-12,DUS 3RD +,DUI 1ST,27,28,CHARLESTON,CHARLESTON,2045,313,375
B,F,2018-02-26,2018-07-27,SIMPLE POSS MARIJUANA 1ST,SHOPLIFTING,24,24,CHARLESTON,CHARLESTON,2047,2013,151
B,M,2020-12-17,2023-08-05,DUI 1ST,"DV 1ST, F",32,34,CHARLESTON,CHARLESTON,38,1912,961
B,M,2015-06-27,2015-10-29,SIMPLE POSS MARIJUANA 1ST,PUBLIC DISORDERLY CONDUCT,32,32,CHARLESTON,CHARLESTON,931,2350,124
B,F,2015-09-22,2016-02-01,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,44,44,CHARLESTON,CHARLESTON,2135,1310,132
B,M,2015-05-03,2020-06-04,DISORDERLY CONDUCT,GRAND LARCENY,40,45,CHARLESTON,CHARLESTON,1931,2139,1859
B,M,2015-07-31,2018-07-23,OUT OF AGENCY WARRANT,DV 2ND,31,34,CHARLESTON,CHARLESTON,1803,2354,1088
B,M,2015-12-19,2016-02-03,PWID/MANUF MARIJUANA,PWID/MANUF MARIJUANA,26,26,CHARLESTON,CHARLESTON COUNTY,2222,2020,46
W,M,2023-03-04,2023-03-29,TRESPASSING,PUBLIC INTOXICATION,65,65,CHARLESTON,CHARLESTON,2018,1438,25
B,M,2015-09-07,2015-11-14,"UNLAWFUL CARRYING OF HANDGUN, F",POSS STOLEN HANDGUN,27,27,CHARLESTON,CHARLESTON,2349,309,68
B,M,2018-10-31,2020-02-08,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,19,20,CHARLESTON,CHARLESTON,2317,1400,465
W,M,2015-11-13,2017-02-05,OUT OF AGENCY WARRANT,PUBLIC URINATION / DEFECATION,61,62,CHARLESTON,CHARLESTON,1134,1356,450
B,M,2015-04-22,2023-07-31,OUT OF AGENCY WARRANT,PROPERTY CRIME ENHANCEMENT,29,37,CHARLESTON,NORTH CHARLESTON,828,930,3022
B,M,2016-10-26,2017-01-15,DUS 1ST,DUS 1ST,54,54,CHARLESTON COUNTY,CHARLESTON,1138,1431,81
W,M,2019-07-02,2021-11-27,PUBLIC INTOXICATION,DV 2ND,37,40,CHARLESTON,CHARLESTON,500,2352,879
W,M,2021-04-23,2021-08-30,DV 2ND,ABHAN,48,48,CHARLESTON,NORTH CHARLESTON,1205,1518,129
B,M,2017-01-19,2017-11-09,SIMPLE POSS MARIJUANA 1ST,POSS COCAINE BASE,23,23,CHARLESTON,CHARLESTON,2324,1610,294
B,M,2023-09-13,2024-06-24,POSSESSION MARIJUANA 1OZ OR LESS,POSS COCAINE,31,32,CHARLESTON,CHARLESTON,1912,1324,285
B,M,2016-01-03,2018-04-04,ARSON 3RD DEGREE,POSS COCAINE BASE,26,28,CHARLESTON,CHARLESTON,1219,2346,822
B,M,2015-07-08,2015-11-14,DV 3RD,DV 2ND,34,34,CHARLESTON,CHARLESTON,553,2048,129
B,F,2015-03-01,2015-10-23,SHOPLIFTING,PROPERTY CRIME ENHANCEMENT,27,28,CHARLESTON,CHARLESTON,852,1440,236
W,M,2017-06-16,2020-06-08,SIMPLE POSS MARIJUANA 1ST,ASSAULT & BATTERY 3RD DEGREE,44,47,CHARLESTON COUNTY,CHARLESTON,222,1418,1088
W,F,2016-10-29,2016-11-02,POSS COCAINE BASE,PWID/MANUF/DISTR/PURCH COCAINE BASE,36,36,JOHNS ISLAND,CHARLESTON,2117,2050,4
B,M,2019-01-04,2020-11-11,PUBLIC URINATION / DEFECATION,ASSAULT & BATTERY 3RD DEGREE,34,36,CHARLESTON,CHARLESTON,830,2347,677
B,M,2016-02-24,2018-06-27,OUT OF AGENCY WARRANT,DUS 1ST,33,36,JOHNS ISLAND,CHARLESTON,2357,1534,854
B,M,2016-02-29,2017-01-10,POSS HEROIN,DV 2ND,37,38,CHARLESTON,CHARLESTON,2330,2156,316
B,F,2018-08-30,2019-05-18,ASSAULT & BATTERY 2ND DEGREE,DV 3RD,34,34,CHARLESTON,CHARLESTON,922,1612,261
B,M,2015-12-10,2015-12-31,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,63,63,CHARLESTON,CHARLESTON,2304,2314,21
B,M,2015-03-04,2015-10-13,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,44,44,CHARLESTON,CHARLESTON,2215,1126,223
B,M,2019-04-27,2023-10-22,PWID/MANUF MARIJUANA,BREAKING INTO MOTOR VEHICLE,35,40,CHARLESTON,CHARLESTON,2007,1615,1639
W,F,2018-02-16,2024-10-11,SIMPLE POSS MARIJUANA 1ST,POSS DRUG PARAPHERNALIA,21,28,CHARLESTON COUNTY,CHARLESTON,1826,1934,2429
B,M,2015-03-19,2015-04-09,POSS DRUG PARAPHERNALIA,POSS DRUG PARAPHERNALIA,40,40,CHARLESTON,CHARLESTON,1455,1712,21
B,M,2015-05-25,2016-07-21,OPEN CONTAINER BEER/WINE IN VEH,DUS 1ST,54,55,CHARLESTON,CHARLESTON COUNTY,355,1813,423
B,M,2017-08-08,2018-06-15,SIMPLE ASSAULT,DISORDERLY CONDUCT,34,34,CHARLESTON,CHARLESTON,537,1847,311
W,F,2019-04-06,2023-12-25,PUBLIC INTOXICATION,PUBLIC DISORDERLY CONDUCT,55,59,CHARLESTON,JOHNS ISLAND,1958,2142,1724
B,M,2017-03-03,2023-07-14,DUS 1ST,DUS 2ND,23,30,CHARLESTON,CHARLESTON,211,2140,2324
W,F,2015-10-02,2017-01-02,OPEN CONTAINER BEER/WINE IN VEH,OPEN CONTAINER BEER/WINE IN VEH,22,23,CHARLESTON,CHARLESTON,1654,334,458
B,M,2015-01-16,2016-09-13,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,60,63,CHARLESTON,CHARLESTON,1653,1422,606
B,M,2015-01-17,2015-05-07,TRESPASSING,TRESPASSING,23,23,CHARLESTON,CHARLESTON,1758,1626,110
W,M,2015-03-29,2019-04-01,DISORDERLY CONDUCT,PUBLIC DISORDERLY CONDUCT,19,24,CHARLESTON,CHARLESTON,2357,115,1464
B,M,2015-11-15,2018-11-17,LOITERING,OUT OF AGENCY WARRANT,29,32,CHARLESTON,CHARLESTON,1438,234,1098
B,M,2015-02-21,2018-06-17,POSS COCAINE,POSS MDMA / ECSTASY,30,34,CHARLESTON,CHARLESTON,136,2216,1212
B,M,2015-10-21,2015-11-21,SIMPLE POSS MARIJUANA 1ST,POSS COCAINE BASE,19,19,CHARLESTON,CHARLESTON,2035,0,31
B,M,2015-08-23,2018-05-23,LARCENY,PROPERTY CRIME ENHANCEMENT,33,36,N CHARLESTON,NORTH CHARLESTON,929,1641,1004
W,M,2018-12-15,2019-01-25,OPEN CONTAINER BEER/WINE IN VEH,OPEN CONTAINER BEER/WINE IN VEH,47,47,CHARLESTON,CHARLESTON,2312,1918,41
W,F,2023-09-05,2023-12-27,DVHAN,DISORDERLY CONDUCT,44,44,AWENDAW,CHARLESTON,1038,253,113
B,F,2017-11-14,2024-05-07,OPEN CONTAINER ALCOHOL,ATTEMPTED MURDER,52,68,CHARLESTON,CHARLESTON,1543,1340,2366
B,M,2016-01-23,2017-09-07,PUBLIC INTOXICATION,TRESPASSING,28,30,CHARLESTON,CHARLESTON,309,1401,593
B,M,2017-11-21,2024-04-17,OUT OF AGENCY WARRANT,TRAFFICKING FENTANYL,31,38,CHARLESTON,CHARLESTON,1522,1349,2339
W,M,2015-04-16,2017-08-29,DUS 1ST,SIMPLE ASSAULT,61,64,NORTH CHARLESTON,CHARLESTON,1002,1535,866
B,M,2015-05-06,2015-05-20,MURDER/NONNEGLIGENT MANSLAUGHTER,ATTEMPTED MURDER,34,34,WALTERBORO,NORTH CHARLESTON,1303,1809,14
W,M,2015-01-16,2019-02-04,PUBLIC INTOXICATION,DV 2ND,35,39,CHARLESTON,CHARLESTON,102,2338,1480
W,F,2015-09-24,2015-10-09,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,34,34,CHARLESTON,CHARLESTON,1450,1914,15
W,M,2016-04-06,2019-12-10,PUBLIC INTOXICATION,OPEN CONTAINER ALCOHOL,42,46,CHARLESTON,CHARLESTON,1352,730,1343
B,F,2015-12-22,2016-01-05,UNINSURED MOTOR VEHICLE,CRIMES AGAINST FED CHARTERED OR INSURED FINANCIAL INS,23,23,CHARLESTON,CHARLESTON,322,1506,14
B,M,2016-11-22,2018-02-05,DV 1ST,OPEN CONTAINER ALCOHOL,38,40,CHARLESTON,CHARLESTON,2319,2330,440
B,F,2015-02-26,2024-08-03,DISTURBING SCHOOL,SHOPLIFTING,17,26,CHARLESTON,CHARLESTON,1320,1652,3446
B,M,2015-03-25,2016-04-08,DISORDERLY CONDUCT,OUT OF AGENCY WARRANT,45,46,CHARLESTON,CHARLESTON,5,1048,380
B,M,2016-03-18,2016-05-20,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,44,45,CHARLESTON,CHARLESTON,842,324,63
W,M,2016-09-30,2018-06-11,MINOR IN POSSESSION OF LIQUOR,LOUD NOISE,19,21,CHARLESTON,CHARLESTON,2219,1405,619
B,M,2017-10-16,2020-02-11,POSS COCAINE BASE,GRAND LARCENY,26,28,CHARLESTON,CHARLESTON,2225,2009,848
B,M,2024-09-28,2024-12-30,OPEN CONTAINER ALCOHOL,PUBLIC INTOXICATION,67,67,CHARLESTON,CHARLESTON,919,1047,93
B,M,2015-03-18,2016-04-07,PWID/MANUF/DISTR HEROIN,TRESPASSING,50,51, ,CHARLESTON,1506,1212,386
B,M,2015-01-17,2015-07-22,FAILURE TO STOP BLUE LIGHT/ SIREN,DISTRIBUTION / PURCHASING HEROIN,26,27,CHARLESTON COUNTY,CHARLESTON,107,1559,186
W,M,2019-03-20,2021-04-08,PWID/MANUF/DISTR/TRAF CONTROLLED SUSB SCHEDULE I-V,OUT OF AGENCY WARRANT,31,33,CHARLESTON,CHARLESTON,800,1430,750
B,F,2015-07-07,2016-02-04,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,49,49,CHARLESTON,CHARLESTON,215,1347,212
B,F,2015-07-07,2020-05-24,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,25,29,CHARLESTON,CHARLESTON,222,1933,1783
B,M,2024-01-01,2024-01-01,FIREWORKS POSS / DISCHARGE,FIREWORKS POSS / DISCHARGE,31,31,CHARLESTON,CHARLESTON,419,419,0
B,F,2020-04-09,2021-12-02,SIMPLE ASSAULT,ASSAULT & BATTERY 1ST DEGREE,22,23,CHARLESTON,CHARLESTON,1624,141,602
B,F,2018-01-19,2019-12-04,ARSON 2ND DEGREE,SIMPLE ASSAULT,57,59,CHARLESTON,CHARLESTON,1028,2239,684
B,F,2020-02-11,2023-03-27,CRUELTY TO ANIMALS,ASSAULT & BATTERY 3RD DEGREE,30,33,CHARLESTON,CHARLESTON,800,1901,1140
W,M,2015-02-16,2015-03-29,"POSS DRUG PARAPHERNALIA, M",POSS COCAINE BASE,34,34,CHARLESTON,CHARLESTON,1020,1840,41
W,M,2015-07-19,2019-01-18,TRESPASSING,SHOPLIFTING,23,27,CHARLESTON,CHARLESTON,1521,1234,1279
B,M,2015-04-25,2015-05-16,TRESPASSING,PUBLIC INTOXICATION,56,56,CHARLESTON, ,433,1305,21
B,M,2015-01-22,2016-11-26,OUT OF AGENCY WARRANT,"PWID/MANUF/DISTR HEROIN, M",51,53,CHARLESTON,CHARLESTON,845,46,674
W,M,2016-05-01,2019-09-07,SIMPLE POSS MARIJUANA 1ST,PUBLIC DISORDERLY CONDUCT,23,26,CHARLESTON,CHARLESTON,2321,235,1224
W,F,2017-05-04,2021-09-28,OUT OF AGENCY WARRANT,PROPERTY CRIME ENHANCEMENT,28,33,CHARLESTON,CHARLESTON,1255,1339,1608
B,F,2015-05-12,2019-10-27,SHOPLIFTING,NO DRIVERS LICENSE,18,23,CHARLESTON, ,1841,1330,1629
B,M,2015-03-15,2015-05-04,OUT OF AGENCY WARRANT,GIVING FALSE INFORMATION,28,28,CHARLESTON,CHARLESTON,1709,2005,50
B,M,2017-09-18,2018-05-16,DVHAN,POSS COCAINE,25,26,CHARLESTON,CHARLESTON,1227,16,240
B,M,2016-06-29,2024-12-16,OUT OF AGENCY WARRANT,DUS 2ND,51,60,CHARLESTON,CHARLESTON,2001,1906,3092
W,F,2018-11-13,2021-01-06,PROPERTY CRIME ENHANCEMENT,"PWID/MANUF/DISTR/TRAF CONTROLLED SUBS SCHEDULE I-V, F",45,47,CHARLESTON,CHARLESTON,227,1510,785
W,M,2015-04-13,2019-07-30,PUBLIC INTOXICATION,SHOPLIFTING,34,38,CHARLESTON,CHARLESTON,152,1251,1569
W,M,2015-02-03,2015-03-09,SIMPLE POSS MARIJUANA 1ST,POSS CONTROLLED SUSB SCHEDULE I-V,26,26,CHARLESTON,CHARLESTON,2231,1518,34
B,M,2015-01-28,2021-08-19,ASSAULT & BATTERY 2ND DEGREE,TRESPASSING,40,47,NORTH CHARLESTON,CHARLESTON,1459,2137,2395
B,M,2022-05-05,2024-04-08,OUT OF AGENCY WARRANT,POSS COCAINE BASE,45,47,CHARLESTON,CHARLESTON,13,120,704
B,M,2015-05-17,2015-06-22,OPEN CONTAINER BEER/WINE IN VEH,DUS 1ST,50,50,CHARLESTON,CHARLESTON,323,514,36
B,M,2018-05-10,2021-08-05,DISORDERLY CONDUCT,TRESPASSING,26,30,CHARLESTON,CHARLESTON,100,1605,1183
B,M,2015-03-27,2017-06-06,OPEN CONTAINER ALCOHOL,OUT OF AGENCY WARRANT,54,56,CHARLESTON,CHARLESTON,1231,1335,802
B,M,2015-08-18,2015-11-21,DUS 1ST,SHOPLIFTING,47,48,N CHARLESTON,CHARLESTON,1903,1534,95
B,M,2015-01-01,2015-01-03,PEDDLERS PERMIT REQUIRED,PEDDLERS PERMIT REQUIRED,21,21,CHARLESTON,CHARLESTON,1204,1618,2
W,M,2017-12-25,2019-05-21,DUI 1ST,DUI 2ND,29,30,CHARLESTON,CHARLESTON,2001,944,512
B,M,2018-03-13,2022-10-05,PWID/MANUF/DISTR/PURCH COCAINE BASE,PWID/MANUF/DISTR/PURCH COCAINE BASE,27,32,CHARLESTON,CHARLESTON,1148,2051,1667
B,M,2015-01-06,2015-09-21,PROPERTY CRIME ENHANCEMENT,POSS COCAINE BASE,50,51,CHARLESTON,CHARLESTON,1058,44,258
B,M,2018-03-03,2020-02-14,OUT OF AGENCY WARRANT,TRESPASSING AFTER WARNING,53,55,CHARLESTON,CHARLESTON,2357,1,713
B,F,2023-06-02,2024-12-05,ASSAULT & BATTERY 3RD DEGREE,SHOPLIFTING,25,26,CHARLESTON,CHARLESTON,339,1557,552
W,M,2015-01-17,2015-11-29,OUT OF AGENCY WARRANT,SHOPLIFTING,19,20,CHARLESTON,CHARLESTON,2000,1651,316
B,M,2021-02-14,2021-11-06,SHOPLIFTING,SHOPLIFTING,50,50,CHARLESTON,CHARLESTON,2200,2003,265
B,F,2015-06-04,2019-05-08,SIMPLE ASSAULT,OUT OF AGENCY WARRANT,24,28,CHARLESTON,CHARLESTON,39,2242,1434
W,M,2016-01-22,2019-08-11,OPEN CONTAINER ALCOHOL,DUI 1ST,22,26,CHARLESTON,CHARLESTON,2230,225,1297
B,M,2015-08-30,2015-11-17,TRESPASSING,TRESPASSING AFTER WARNING,65,65,CHARLESTON,CHARLESTON,2157,2055,79
B,M,2015-09-30,2023-11-24,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,23,31,CHARLESTON COUNTY,CHARLESTON,2048,142,2977
B,F,2015-12-18,2018-02-25,SHOPLIFTING,FINANCIAL TRANSACTION CARD FRAUD,18,20,CHARLESTON,CHARLESTON,1925,1826,800
B,F,2015-09-30,2016-12-08,DISTURBING SCHOOL,DISORDERLY CONDUCT,16,17,CHARLESTON,CHARLESTON,725,715,435
B,M,2017-03-01,2017-12-05,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,30,31,CHARLESTON,CHARLESTON,201,1154,279
B,M,2016-05-31,2016-10-13,PWID/MANUF/DISTR/PURCH COCAINE BASE,PWID/MANUF/DISTR/PURCH COCAINE BASE,30,31,CHARLESTON,CHARLESTON,2333,2249,135
B,M,2018-02-26,2021-01-21,SIMPLE POSS MARIJUANA 1ST,DUI 1ST,35,38,CHARLESTON,CHARLESTON,532,1509,1060
B,M,2015-09-14,2016-01-05,HARASSMENT 1ST DEGREE,POSS COCAINE,22,23,CHARLESTON,CHARLESTON,1843,45,113
W,M,2016-06-09,2018-01-17,SIMPLE POSS MARIJUANA 1ST,SIMPLE POSS MARIJUANA 1ST,18,20,CHARLESTON,CHARLESTON,1149,1023,587
B,M,2015-01-02,2018-12-24,UNLAWFUL CARRYING OF HANDGUN,SIMPLE POSS MARIJUANA 1ST,17,21,CHARLESTON,CHARLESTON,39,1602,1452
B,M,2015-05-01,2023-08-19,OPEN CONTAINER ALCOHOL,INDECENT EXPOSURE,62,70,CHARLESTON,CHARLESTON,1224,1047,3032
B,M,2015-02-10,2015-02-27,POSS HEROIN,POSS COCAINE BASE,50,50,CHARLESTON,CHARLESTON,2336,2353,17
B,M,2024-01-24,2024-01-24,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,31,31, , ,716,716,0
W,M,2016-10-17,2020-12-13,"PWID/MANUF/DISTR HEROIN, M",DV 3RD,26,30,CHARLESTON,CHARLESTON,2045,1833,1518
W,M,2017-03-04,2017-08-10,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,43,44,CHARLESTON,CHARLESTON,1713,539,159
B,M,2015-01-28,2015-06-03,PETIT LARCENY,OPEN CONTAINER ALCOHOL,47,48,CHARLESTON,CHARLESTON,356,132,126
B,M,2016-02-20,2019-01-03,SIMPLE POSS MARIJUANA 1ST,OUT OF AGENCY WARRANT,31,34,CHARLESTON COUNTY,CHARLESTON COUNTY,2200,654,1048
W,M,2018-12-20,2019-08-03,PWID/MANUF/DISTR HEROIN,SHOPLIFTING,37,37,CHARLESTON,CHARLESTON,1131,1005,226
B,M,2015-01-17,2015-03-27,OPEN CONTAINER ALCOHOL,PUBLIC INTOXICATION,49,50,CHARLESTON,CHARLESTON,927,42,69
B,M,2017-08-29,2018-01-11,OUT OF AGENCY WARRANT,BURGLARY 2ND DEGREE,34,35,CHARLESTON,CHARLESTON,2052,900,135
B,M,2016-05-02,2022-08-26,PWID/MANUF/DISTR/PURCH COCAINE BASE,DV 3RD,24,31,CHARLESTON,CHARLESTON,2250,2353,2307
B,M,2021-12-03,2022-06-27,POSS HANDGUN UNDER 18 YOA,UNLAWFUL CARRYING OF HANDGUN,15,16,MOUNT PLEASANT,CHARLESTON,1200,508,206
B,F,2016-02-22,2017-01-25,DUS 1ST,SHOPLIFTING,19,20,CHARLESTON,CHARLESTON,1,2123,338
W,M,2015-12-02,2017-06-05,DV 3RD,PUBLIC INTOXICATION,58,59,CHARLESTON,CHARLESTON,1206,1833,551
B,M,2015-05-28,2016-01-07,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,64,64,CHARLESTON,CHARLESTON,2230,2000,224
B,M,2015-01-12,2015-11-19,PWID/MANUF/DISTR/PURCH COCAINE BASE,SIMPLE POSS MARIJUANA 1ST,18,19,CHARLESTON,CHARLESTON,2113,1744,311
W,M,2015-03-16,2015-08-01,PUBLIC INTOXICATION,PUBLIC INTOXICATION,30,30,CHARLESTON,CHARLESTON,307,1434,138
B,M,2023-05-04,2024-02-12,PWID/MANUF/DISTR/TRAF CONTROLLED SUBS SCHEDULE I-V,SIMPLE POSS MARIJUANA 1ST,38,39,CHARLESTON,CHARLESTON,1448,2241,284
B,M,2019-01-12,2021-03-04,SIMPLE POSS MARIJUANA 1ST,POINTING FIREARM AT A PERSON,24,26,CHARLESTON,CHARLESTON,2334,1225,782
B,M,2015-08-29,2016-04-19,DISTRIBUTE/DELIVER IMITATION CONTROLLED SUBSTANCE,TRESPASSING,20,21,CHARLESTON,CHARLESTON,1949,1426,234
W,M,2018-03-14,2021-06-29,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,52,55,CHARLESTON COUNTY,CHARLESTON,2308,1217,1203
B,M,2020-05-06,2022-09-22,DUS 1ST,OUT OF AGENCY WARRANT,32,34,CHARLESTON,CHARLESTON,1319,1632,869
B,M,2015-05-27,2019-11-01,SIMPLE POSS MARIJUANA 1ST,PWID/MANUF COCAINE,38,43,CHARLESTON, ,2222,1228,1619
W,F,2017-12-05,2018-02-18,BREACH OF TRUST W/ FRAUDULENT INTENT,PROPERTY CRIME ENHANCEMENT,44,44,CHARLESTON,CHARLESTON,1200,2030,75
B,M,2019-01-15,2019-07-06,OUT OF AGENCY WARRANT,SHOPLIFTING,59,59,CHARLESTON,CHARLESTON,156,1938,172
B,M,2016-04-18,2023-07-16,OUT OF AGENCY WARRANT,VIOLATION OF RESTRAINING ORDER,51,59,CHARLESTON,CHARLESTON,2213,1816,2645
B,M,2017-06-27,2020-01-10,OUT OF AGENCY WARRANT,CRUELTY TO CHILDREN,36,38,CHARLESTON,CHARLESTON,24,830,927
B,M,2018-08-05,2018-08-09,TRESPASSING,OUT OF AGENCY WARRANT,43,43,CHARLESTON,CHARLESTON COUNTY,1732,1947,4
B,M,2024-01-26,2024-01-26,HABITUAL OFFENDER,HABITUAL OFFENDER,52,52,CHARLESTON,CHARLESTON,1037,1037,0
B,F,2015-11-05,2016-04-08,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,15,15,CHARLESTON,CHARLESTON,756,106,155
